address,name_legit,name_patched,mnemonic_preview_legit,mnemonic_preview_patched
4205056,?IsDefault@wxTextAttr@@QBE_NXZ_0,sub_402A00,jcnd goto push mov sub mov mov call test jnz mov jmp mov mov mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov and mov mov setz setp sets mov mov lnot mov mov mov mov sub stx mov mov mov mov mov mov sub stx mov mov sub ldx mov nop pop mov icall,jcnd goto jcnd jcnd jcnd goto goto goto push jnp jno int cmp retn jz cli cmp sar mov cdq mov test into mov in sbb push shr push mov cli scasb add jbe nop push mov mov lnot mov mov lnot mov ext mov mov setb seto sub setz setp sets nop pop mov add ijmp mov mov call mov mov setb seto sub setz setp sets mov add mov ldx mov cfshr sar und setz setp sets stx
4205120,sub_402A40,sub_402A40,push mov push mov mov call mov mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov add ldx mov nop pop mov icall,jcnd goto goto jz cli xchg das rol insb retf mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall
4205520,sub_402BD0,sub_402BD0,push mov push mov mov call mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call nop pop mov icall,jcnd goto goto jz cli xchg das rol insb retf cmc scasb add mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall mov mov ldx cfadd ofadd add setz setp sets mov
4212000,sub_404520,sub_404520,push mov push mov mov call push mov call mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call nop push mov mov sub ldx mov mov nop nop mov mov call nop pop mov icall,jcnd goto jz cli xchg das rol insb retf add mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall mov mov ldx cfadd ofadd add setz setp sets mov call
4212032,sub_404540,sub_404540,push mov push mov mov call push mov call mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call nop push mov mov sub ldx mov mov nop nop mov mov call nop pop mov icall,jcnd goto goto jz cli xchg das rol insb retf mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall
4212064,public: virtual void near * wxNativeWindow::`scalar deleting destructor'(unsigned int),sub_404560,jcnd push mov push mov mov call mov and jz push mov push call add mov mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov add ldx mov mov and mov mov setz setp sets mov mov mov nop push mov mov sub ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov sub ldx mov nop,jcnd goto goto jz cli xchg das rol insb retf jl pop xor cmp adc leave cdq sti call sti cli scasb add mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall mov mov ldx cfadd ofadd add setz setp sets mov
4213712,sub_404BD0,sub_404BD0,push mov call pop retn mov mov nop nop mov mov call nop pop mov icall,jcnd goto goto jz cli xchg mov cli scasb add mov mov call mov mov mov mov mov call mov mov ldx setb seto sub setz setp sets mov add mov mov ldx cfadd ofadd add setz setp sets mov
4213824,sub_404C40,sub_404C40,push mov push mov mov mov mov mov pop retn mov mov mov mov sub stx mov mov add ldx mov mov mov mov mov stx mov mov nop pop mov add icall,jcnd goto jcnd jcnd jcnd jcnd jcnd goto goto goto goto goto goto jz cli xchg das rol mov mov stosd test vpsubq add les lahf pop xchg mov jbe push jbe jp jz test faddp cmp mov mov scasb jnz mov mov mov call mov mov ldx mov ext cfshl mov mov und mov mov mov mov mov mov stx mov add mov mov and mov mov setz setp sets ext mov add mov sub ldx cfadd ofadd add
4213952,sub_404CC0,sub_404CC0,push mov sub mov mov mov push mov mov push mov mov push mov mov push mov push mov mov mov mov mov call mov call mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov ldx mov nop push mov mov add ldx mov,jcnd jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto goto goto goto goto goto goto goto jz cli cmp popf cmp sar cmpsb ficom loop retn rol jz pop sbb sti call pop jbe cli scasb add jz cli cmp popf cmp sal cmp sar mov push jnp les jno dec jnb les mov scasb jnz mov insb mov push mov ja dec jnp les mov scasb jnz
4214240,sub_404DE0,sub_404DE0,push mov sub mov mov mov push mov mov push mov mov push mov mov push mov push mov mov mov mov mov call mov call mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov ldx mov nop push mov mov add ldx mov,jcnd jcnd goto jcnd goto goto jz cli cmp popf cmp sar cmpsb ficom loop retn cmpsb out jnp enter pop mov das rol jz pop sbb sti call mov mov call mov mov setb seto sub setz setp sets nop pop call mov mov setb seto sub setz setp sets mov mov ldx cfshr sar und setz setp sets stx mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov mov add ldx
4214336,sub_404E40,sub_404E40,push mov sub mov mov add push mov mov push mov mov push mov push mov mov mov mov mov call mov call mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov mov cfadd ofadd add setz setp sets mov nop push mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov ldx mov nop push mov mov add ldx mov,jcnd jcnd goto goto jz cli cmp popf cmp sal jle push lahf out retn iret mov cli scasb add in sti call mov mov call mov mov setb seto sub setz setp sets nop pop call mov mov setb seto sub setz setp sets mov mov ldx cfshl shl und setz setp sets stx mov mov xor or nop push mov mov call nop pop mov add ijmp mov mov mov stx call mov mov ldx setb seto sub
4214480,sub_404ED0,sub_404ED0,push mov sub mov mov mov push mov mov push mov mov push mov push mov mov mov mov mov call mov call mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov ldx mov nop push mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov nop push mov,jcnd jcnd jcnd goto jcnd jcnd jcnd goto goto goto goto goto popf cmp rcr loop push jnb ja insb retf jz cli cmp popf cmp sar cmpsb ficom sub js cmp mov imul or adc mov adc rcr jg cmp cli scasb add in sti call nop pop call mov mov setb seto sub setz setp sets mov mov add ldx ext stx mov mov sub setnz nop push mov mov lnot mov mov or lnot ext nop pop
4214640,sub_404F70,sub_404F70,push mov sub mov mov add push mov mov push mov mov push mov mov push mov push mov mov mov mov mov call mov call mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov mov cfadd ofadd add setz setp sets mov nop push mov mov add ldx mov mov mov add ldx mov nop push mov mov add ldx mov mov mov add ldx mov nop push mov,jcnd jcnd jcnd goto jcnd jcnd goto cmp sar cmpsb ficom loop retn das rol jz pop sbb sti jz cli cmp popf cmp sal jle push lahf out retn mov les cmp xchg cmpsb jmp das rol jz pop sbb sti call mov mov setb seto sub setz setp sets mov mov ldx cfshr sar und setz setp sets stx mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov mov add ldx
4214800,sub_405010,sub_405010,push mov push mov xor mov pop retn mov mov mov mov sub stx mov mov mov setz setp sets nop pop mov add icall,jcnd goto goto jz cli xchg das rcr fnstcw mov mov mov call mov mov ldx mov ext mov mov ldx ext stx mov mov mov stx call
4214816,sub_405020,sub_405020,push mov push mov xor mov pop retn mov mov mov mov sub stx mov mov mov setz setp sets nop pop mov add icall,jcnd goto goto jz cli xchg das rcr fnstcw mov mov mov call mov mov ldx mov ext mov mov ldx ext stx mov mov mov stx call
4214832,sub_405030,sub_405030,push mov push mov xor mov pop retn mov mov mov mov sub stx mov mov mov setz setp sets nop pop mov add icall,jcnd goto goto jz cli xchg das rcr fnstcw mov mov mov call mov mov ldx mov ext mov mov ldx ext stx mov mov mov stx call
4214848,sub_405040,sub_405040,push mov push mov xor mov pop retn mov mov mov mov sub stx mov mov mov setz setp sets nop pop mov add icall,jcnd goto goto jz cli xchg das rcr fnstcw mov mov mov call mov mov ldx mov ext mov mov ldx ext stx mov mov mov stx call
4214864,sub_405050,sub_405050,push mov push mov xor mov pop retn mov mov mov mov sub stx mov mov mov setz setp sets nop pop mov add icall,jcnd jcnd goto jz cli xchg das rcr fnstcw mov jz cli xchg das rol retf add outsd out lds jno cmp scasb add cli mov xchg xor push mov scasd into mov cmpsb retf mov mov call mov mov ldx mov ext mov mov ldx ext stx mov mov mov stx mov mov call mov mov ldx mov ext cfshl mov mov und nop pop ldx add icall mov mov mov mov mov sub ldx xor mov mov setz
4215520,sub_4052E0,sub_4052E0,jcnd goto push mov sub mov mov push call test jnz mov mov jmp mov mov mov mov mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov nop push mov nop nop mov mov call mov and mov mov setz setp sets mov mov lnot mov mov add ldx mov mov mov mov sub stx mov mov mov mov mov mov sub stx mov mov sub ldx mov mov mov,scasb scasb add jz cli daa aas jnz scasd mul in pop dec push fcmovb lds jle push jnp enter pop mov aaa rol xchg mov jz cli xchg jle xchg scasd idiv fxch4 dec in pop sbb mov jnp enter pop mov aaa rol les add in sti add jz cli cmp sar into sahf add test js cmp retn cli scasb add jz cli xchg das rol retf adc add sti fisttp mov push jnb
4215632,sub_405350,sub_405350,push mov push mov mov push mov call mov mov pop retn mov mov mov mov sub stx mov mov add ldx mov nop push mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov nop pop mov add icall,jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd goto goto goto goto goto goto goto jz cli xchg das rol mov push jnp lodsb lds or js pop push mov aad push shr cmp mov jz cli xchg das rol retf add jz cli cmp sbb arpl sal jle adc mov mov clc adc scasb fcmovb jbe mov fcmovb retn add xchg mov jle xor pop jnp arpl leave cmps loop lahf loop
4216464,sub_405690,sub_405690,push mov push mov mov mov mov mov pop retn mov mov mov mov sub stx mov mov add ldx mov mov mov mov mov stx mov mov nop pop mov add icall,jcnd goto jz cli xchg das rol mov mov stosd test vpsubq add mov mov call call mov mov ldx mov ext cfshl mov mov und mov mov mov mov mov mov stx mov add mov mov and mov mov setz setp sets ext mov add mov sub ldx cfadd ofadd add setz setp sets stx
