address,name_legit,name_patched,size_legit,size_patched,nodes_legit,nodes_patched,edges_legit,edges_patched,inst_count_legit,inst_count_patched,mnemonic_sha1_legit,mnemonic_sha1_patched,disasm_sha1_legit,disasm_sha1_patched,mnemonic_preview_legit,mnemonic_preview_patched,_merge,classification,inst_delta,size_delta
4407312,sub_434010,sub_434010,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,fb2a0e9d0b0ed8e9546b255698bce0f98a72ed1c,fb2a0e9d0b0ed8e9546b255698bce0f98a72ed1c,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
4407520,sub_4340E0,sub_4340E0,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,af779f36a571684d378591c9e63fc5433ef151f7,af779f36a571684d378591c9e63fc5433ef151f7,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
4407552,sub_434100,sub_434100,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,022c392394da2d08560a5f45d8d5d667fc2fb07e,022c392394da2d08560a5f45d8d5d667fc2fb07e,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
4409240,sub_434798,sub_434798,29,29,1,1,0,0,53,53,01a38fc8dccf2a9ca96fa3f4faab061583f4db88,01a38fc8dccf2a9ca96fa3f4faab061583f4db88,8d6b4c8bab21c14819841adc7ef6a9f474ffc88e,8d6b4c8bab21c14819841adc7ef6a9f474ffc88e,push mov mov push push push call add pop retn mov mov mov add ldx mov mov mov add ldx nop push mov mul mov add ldx nop push mov mov add ldx nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall,push mov mov push push push call add pop retn mov mov mov add ldx mov mov mov add ldx nop push mov mul mov add ldx nop push mov mov add ldx nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall,both,same,,
4409728,sub_434980,sub_434980,6,6,1,1,0,0,8,8,d233a49ca4c6ec3e8d07152f881b8ff76dfee068,d233a49ca4c6ec3e8d07152f881b8ff76dfee068,c13bfc4c303811ec41c381da538f97f915571d28,c13bfc4c303811ec41c381da538f97f915571d28,mov retn mov mov nop pop mov icall,mov retn mov mov nop pop mov icall,both,same,,
4409882,sub_434A1A,sub_434A1A,14,14,1,1,0,0,24,24,bdc6c13a908d29f8dd9ac7cecf878bc91b357f65,bdc6c13a908d29f8dd9ac7cecf878bc91b357f65,e5fd36a98f8c1d91f509d26bd0987632907c1849,e5fd36a98f8c1d91f509d26bd0987632907c1849,push mov push call pop retn mov mov mov add ldx nop push mov nop nop mov mov ldx icall nop pop mov icall,push mov push call pop retn mov mov mov add ldx nop push mov nop nop mov mov ldx icall nop pop mov icall,both,same,,
4412995,??$copy@PA_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@YA?AV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@0@PA_W0V10@@Z_0,??$copy@PA_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@YA?AV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@0@PA_W0V10@@Z_0,46,46,1,1,0,0,92,92,34b4f7ef0de79e92b85e0adf542e67a44c634bf8,34b4f7ef0de79e92b85e0adf542e67a44c634bf8,7a629f18238bb667a5b43998b3f016ed10057d86,7a629f18238bb667a5b43998b3f016ed10057d86,push mov push push push lea push push push push call mov add mov mov mov mov mov leave retn mov mov mov add ldx nop push mov sub mov mov mov add ldx nop push mov mov add ldx nop push mov mov add ldx nop push nop push mov nop nop mov mov call mov mov add ldx mov mov cfadd ofadd add setz setp sets mov mov mov ldx mov mov mov mov stx mov mov add,push mov push push push lea push push push push call mov add mov mov mov mov mov leave retn mov mov mov add ldx nop push mov sub mov mov mov add ldx nop push mov mov add ldx nop push mov mov add ldx nop push nop push mov nop nop mov mov call mov mov add ldx mov mov cfadd ofadd add setz setp sets mov mov mov ldx mov mov mov mov stx mov mov add,both,same,,
4413041,??$copy@PA_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@YA?AV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@0@PA_W0V10@@Z_0_0,??$copy@PA_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@YA?AV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@0@PA_W0V10@@Z_0_0,46,46,1,1,0,0,92,92,34b4f7ef0de79e92b85e0adf542e67a44c634bf8,34b4f7ef0de79e92b85e0adf542e67a44c634bf8,5b0030380eed5b90b1a83e8f5cd6910bd95f49e0,5b0030380eed5b90b1a83e8f5cd6910bd95f49e0,push mov push push push lea push push push push call mov add mov mov mov mov mov leave retn mov mov mov add ldx nop push mov sub mov mov mov add ldx nop push mov mov add ldx nop push mov mov add ldx nop push nop push mov nop nop mov mov call mov mov add ldx mov mov cfadd ofadd add setz setp sets mov mov mov ldx mov mov mov mov stx mov mov add,push mov push push push lea push push push push call mov add mov mov mov mov mov leave retn mov mov mov add ldx nop push mov sub mov mov mov add ldx nop push mov mov add ldx nop push mov mov add ldx nop push nop push mov nop nop mov mov call mov mov add ldx mov mov cfadd ofadd add setz setp sets mov mov mov ldx mov mov mov mov stx mov mov add,both,same,,
4416739,??0?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE@QB_W@Z_0,??0?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE@QB_W@Z_0,37,37,1,1,0,0,62,62,649877efdfbd7a85d0e88eaecea8beb08cbceb7c,649877efdfbd7a85d0e88eaecea8beb08cbceb7c,42c367f397c13555d21a1e23a01cbf49ac9d4395,42c367f397c13555d21a1e23a01cbf49ac9d4395,push mov push push mov xor and mov mov call mov pop pop retn mov mov mov add ldx nop push mov mov mov mov setz setp sets mov mov add ldx mov and mov mov setz setp sets stx mov mov mov mov add stx mov mov mov stx mov nop nop mov mov call mov nop pop mov add icall,push mov push push mov xor and mov mov call mov pop pop retn mov mov mov add ldx nop push mov mov mov mov setz setp sets mov mov add ldx mov and mov mov setz setp sets stx mov mov mov mov add stx mov mov mov stx mov nop nop mov mov call mov nop pop mov add icall,both,same,,
4416871,"public: std::time_get<unsigned short,class std::istreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>::time_get<unsigned short,class std::istreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>(class std::_Locinfo const near &,unsigned int)","public: std::time_get<unsigned short,class std::istreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>::time_get<unsigned short,class std::istreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>(class std::_Locinfo const near &,unsigned int)",93,93,5,5,4,4,81,81,568633d1402a847ee007fbfaf96b85cf700eb2e4,568633d1402a847ee007fbfaf96b85cf700eb2e4,082f3394daf61b96e0fb25a4f127311959334a88,082f3394daf61b96e0fb25a4f127311959334a88,push mov call mov mov mov mov push and mov call mov call retn mov retn und und und und und mov mov mov mov sub stx mov mov add ldx mov mov mov mov add stx mov mov add ldx nop push mov mov sub ldx mov and mov mov setz setp sets stx mov mov mov mov stx mov nop nop mov mov call mov nop pop mov add icall mov jmp mov lea mov xor call mov,push mov call mov mov mov mov push and mov call mov call retn mov retn und und und und und mov mov mov mov sub stx mov mov add ldx mov mov mov mov add stx mov mov add ldx nop push mov mov sub ldx mov and mov mov setz setp sets stx mov mov mov mov stx mov nop nop mov mov call mov nop pop mov add icall mov jmp mov lea mov xor call mov,both,same,,
